"State","District","Crop","Season","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Andhra Pradesh","Ananthapuramu","Rice","Total","3852.00","3495.00","3317.00"
"Andhra Pradesh","Ananthapuramu","Wheat","Rabi","1000.00","",""
"Andhra Pradesh","Ananthapuramu","Wheat","Total","1000.00","",""
"Andhra Pradesh","Ananthapuramu","Maize","Kharif","3890.00","4745.00","5006.00"
"Andhra Pradesh","Ananthapuramu","Maize","Rabi","8365.00","6615.00","5655.00"
"Andhra Pradesh","Ananthapuramu","Maize","Total","5856.00","5191.00","5171.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Kharif","538.00","573.00","255.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Rabi","1560.00","836.00","1101.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Total","1096.00","759.00","884.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Kharif","811.00","828.00","1340.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Rabi","1733.00","",""
"Andhra Pradesh","Ananthapuramu","Bajra","Summer","","","2215.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Total","818.00","828.00","1343.00"
"Andhra Pradesh","Ananthapuramu","Ragi","Kharif","1125.00","1027.00","1339.00"
"Andhra Pradesh","Ananthapuramu","Ragi","Rabi","3056.00","",""
"Andhra Pradesh","Ananthapuramu","Ragi","Total","1724.00","1027.00","1339.00"
"Andhra Pradesh","Ananthapuramu","Small Millets","Kharif","507.00","568.00","899.00"
"Andhra Pradesh","Ananthapuramu","Small Millets","Rabi","1554.00","",""
"Andhra Pradesh","Ananthapuramu","Small Millets","Total","704.00","568.00","899.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Kharif","614.00","650.00","902.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Rabi","1568.00","836.00","1101.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Summer","","","2215.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Total","925.00","732.00","962.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Kharif","2924.00","3554.00","3250.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Rabi","6975.00","3694.00","3463.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Summer","","","2215.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Total","4585.00","3598.00","3308.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Kharif","3302.00","3564.00","3319.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Rabi","6267.00","3547.00","3286.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Summer","","","2215.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Total","4276.00","3560.00","3311.00"
"Andhra Pradesh","Ananthapuramu","Tur","Kharif","291.00","166.00","155.00"
"Andhra Pradesh","Ananthapuramu","Tur","Rabi","308.00","",""
"Andhra Pradesh","Ananthapuramu","Tur","Total","291.00","166.00","155.00"
"Andhra Pradesh","Ananthapuramu","Gram","Kharif","1000.00","",""
"Andhra Pradesh","Ananthapuramu","Gram","Rabi","1154.00","492.00","555.00"
"Andhra Pradesh","Ananthapuramu","Gram","Total","1154.00","492.00","555.00"
"Andhra Pradesh","Ananthapuramu","Urad","Kharif","739.00","816.00","771.00"
"Andhra Pradesh","Ananthapuramu","Urad","Rabi","1386.00","873.00","512.00"
"Andhra Pradesh","Ananthapuramu","Urad","Total","1226.00","853.00","711.00"
"Andhra Pradesh","Ananthapuramu","Moong","Kharif","405.00","180.00","309.00"
"Andhra Pradesh","Ananthapuramu","Moong","Rabi","379.00","237.00","411.00"
"Andhra Pradesh","Ananthapuramu","Moong","Total","390.00","211.00","352.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Kharif","268.00","318.00","318.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Rabi","289.00","554.00","384.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Total","277.00","450.00","355.00"
"Andhra Pradesh","Ananthapuramu","Total Pulses","Total","730.00","322.00","290.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Kharif","1566.00","1705.00","1254.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Rabi","2431.00","1224.00","1227.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Summer","","","2215.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Total","1957.00","1523.00","1246.00"
"Andhra Pradesh","Annamayya","Rice","Kharif","3254.00","3502.00","3681.00"
"Andhra Pradesh","Annamayya","Rice","Rabi","3393.00","3287.00","3487.00"
"Andhra Pradesh","Annamayya","Rice","Total","3295.00","3448.00","3649.00"
"Andhra Pradesh","Annamayya","Maize","Kharif","5897.00","5481.00","6375.00"
"Andhra Pradesh","Annamayya","Maize","Rabi","6343.00","6358.00","7891.00"
"Andhra Pradesh","Annamayya","Maize","Total","6041.00","5707.00","6542.00"
"Andhra Pradesh","Annamayya","Jowar","Kharif","933.00","1416.00","437.00"
"Andhra Pradesh","Annamayya","Jowar","Rabi","2353.00","2338.00","2108.00"
"Andhra Pradesh","Annamayya","Jowar","Total","1688.00","2219.00","1608.00"
"Andhra Pradesh","Annamayya","Bajra","Kharif","1761.00","2118.00","2215.00"
"Andhra Pradesh","Annamayya","Bajra","Rabi","2000.00","",""
"Andhra Pradesh","Annamayya","Bajra","Total","1762.00","2118.00","2215.00"
"Andhra Pradesh","Annamayya","Ragi","Kharif","1540.00","2774.00","2336.00"
"Andhra Pradesh","Annamayya","Ragi","Rabi","3059.00","",""
"Andhra Pradesh","Annamayya","Ragi","Total","1698.00","2774.00","2336.00"
"Andhra Pradesh","Annamayya","Small Millets","Kharif","529.00","621.00","640.00"
"Andhra Pradesh","Annamayya","Small Millets","Rabi","2000.00","",""
"Andhra Pradesh","Annamayya","Small Millets","Total","611.00","621.00","640.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Kharif","1632.00","2401.00","2179.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Rabi","2792.00","2338.00","2108.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Total","1708.00","2398.00","2177.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Kharif","4806.00","4909.00","5575.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Rabi","6173.00","6212.00","7559.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Total","5178.00","5205.00","5766.00"
"Andhra Pradesh","Annamayya","Cereals","Kharif","3580.00","3798.00","4128.00"
"Andhra Pradesh","Annamayya","Cereals","Rabi","3920.00","3840.00","4053.00"
"Andhra Pradesh","Annamayya","Cereals","Total","3679.00","3809.00","4116.00"
"Andhra Pradesh","Annamayya","Tur","Kharif","298.00","188.00","268.00"
"Andhra Pradesh","Annamayya","Tur","Rabi","400.00","",""
"Andhra Pradesh","Annamayya","Tur","Total","298.00","188.00","268.00"
